Date,Open,High,Low,Close,Adj Close,Volume
2019-05-24,702.3499755859375,711.8499755859375,701.25,709.4500122070312,674.4878540039062,497574.0
2019-05-27,708.7999877929688,713.5999755859375,705.2999877929688,709.0999755859375,674.1550903320312,549476.0
2019-05-28,710.0,730.5,710.0,726.6500244140625,690.8401489257812,493319.0
2019-05-29,726.5,733.7000122070312,724.3499755859375,727.3499755859375,691.505615234375,277383.0
2019-05-30,727.7999877929688,737.3499755859375,724.0,733.2999877929688,697.1624755859375,217850.0
2019-05-31,735.0,742.0,733.5499877929688,736.8499755859375,700.5375366210938,206651.0
2019-06-03,734.0,750.7000122070312,729.9500122070312,744.6500244140625,707.953125,246396.0
2019-06-04,741.9500122070312,741.9500122070312,733.25,734.7000122070312,698.4934692382812,309295.0
2019-06-06,734.7000122070312,745.0,734.0999755859375,737.9500122070312,701.5833129882812,321239.0
2019-06-07,737.7000122070312,744.0,735.9500122070312,739.3499755859375,702.9142456054688,320333.0
2019-06-10,738.0,754.5,738.0,753.5999755859375,716.4620361328125,249632.0
2019-06-11,754.0,758.9000244140625,751.2000122070312,754.8499755859375,717.650390625,287202.0
2019-06-12,754.1500244140625,756.0,745.0,753.9500122070312,716.7947998046875,204706.0
2019-06-13,741.5,747.2000122070312,739.2000122070312,742.7000122070312,716.0716552734375,378457.0
2019-06-14,744.2000122070312,745.6500244140625,738.4000244140625,740.4000244140625,713.8541259765625,298249.0
2019-06-17,741.1500244140625,744.7000122070312,737.5,740.4000244140625,713.8541259765625,331734.0
2019-06-18,740.0,752.4000244140625,740.0,750.6500244140625,723.7366333007812,1001741.0
2019-06-19,751.0,755.0,748.75,751.8499755859375,724.8935546875,299917.0
2019-06-20,735.0,756.4500122070312,735.0,754.5499877929688,727.496826171875,636623.0
2019-06-21,754.0,755.0,747.0,750.7000122070312,723.784912109375,328861.0
2019-06-24,752.0,752.0,742.6500244140625,745.5999755859375,718.86767578125,255056.0
2019-06-25,742.5,750.8499755859375,737.25,748.0499877929688,721.2298583984375,281982.0
2019-06-26,744.0,751.5,738.0999755859375,739.6500244140625,713.1310424804688,283076.0
2019-06-27,741.0,744.9500122070312,728.2000122070312,730.8499755859375,704.646484375,282242.0
2019-06-28,733.9000244140625,739.4500122070312,728.3499755859375,731.9500122070312,705.7070922851562,329553.0
2019-07-01,734.0999755859375,737.7999877929688,729.6500244140625,731.1500244140625,704.935791015625,310899.0
2019-07-02,734.4000244140625,741.1500244140625,730.9000244140625,739.9000244140625,713.3720703125,238903.0
2019-07-03,742.0,742.7000122070312,730.2999877929688,731.5,705.2732543945312,338665.0
2019-07-04,734.0,736.3499755859375,729.25,733.9000244140625,707.5872192382812,266711.0
2019-07-05,736.0,736.0,713.2000122070312,718.25,692.498291015625,351697.0
2019-07-08,717.0,724.0999755859375,712.5999755859375,717.4500122070312,691.7269897460938,301869.0
2019-07-09,717.9000244140625,719.7000122070312,708.9000244140625,715.4000244140625,689.75048828125,184016.0
2019-07-10,710.1500244140625,722.5999755859375,706.7000122070312,716.9000244140625,691.1967163085938,230925.0
2019-07-11,721.0,723.6500244140625,710.0,720.8499755859375,695.0050659179688,220817.0
2019-07-12,723.2999877929688,730.8499755859375,719.3499755859375,727.0999755859375,701.0309448242188,179046.0
2019-07-15,762.0,781.4000244140625,754.5,779.4500122070312,751.5040893554688,1168501.0
2019-07-16,776.7999877929688,787.9000244140625,774.7999877929688,784.9500122070312,756.806884765625,388399.0
2019-07-17,784.7000122070312,795.0,777.0,794.2999877929688,765.8215942382812,253810.0
2019-07-18,792.4000244140625,798.5999755859375,786.0499877929688,793.1500244140625,764.7128295898438,248113.0
2019-07-19,789.7000122070312,794.4000244140625,781.4000244140625,785.5999755859375,757.4335327148438,205113.0
2019-07-22,786.9000244140625,792.0,782.25,785.1500244140625,756.999755859375,333145.0
2019-07-23,785.4500122070312,804.25,785.4500122070312,789.9000244140625,761.5794677734375,497688.0
2019-07-24,789.5,793.2999877929688,783.6500244140625,786.0499877929688,757.867431640625,345353.0
2019-07-25,787.0,800.25,787.0,795.0499877929688,766.5447387695312,327591.0
2019-07-26,793.0,794.7000122070312,782.7000122070312,787.2999877929688,759.0725708007812,293235.0
2019-07-29,787.5499877929688,796.8499755859375,786.4000244140625,791.5499877929688,763.1702270507812,272313.0
2019-07-30,792.0,798.0,788.25,792.7999877929688,764.3753662109375,267946.0
2019-07-31,792.0,799.4500122070312,781.75,794.0,765.5323486328125,302444.0
2019-08-01,790.7999877929688,790.7999877929688,764.7999877929688,769.0499877929688,741.4768676757812,365299.0
2019-08-02,769.0,780.0,762.4000244140625,775.4000244140625,747.5993041992188,390658.0
2019-08-05,773.0,785.75,768.25,776.75,748.90087890625,471827.0
2019-08-06,778.0,783.9000244140625,770.0,774.6500244140625,746.8761596679688,852181.0
2019-08-07,779.0,783.5999755859375,772.3499755859375,776.1500244140625,748.3223876953125,462609.0
