Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-October-2016,86.20,87.30,86.00,86.80,86.688205092534224838,920092,4517,79761124.00,349717,38.01,1.30,0.60
20-October-2016,84.50,86.30,84.40,85.65,85.450601703022994109,1364045,5556,116558466.00,424180,31.10,1.90,1.15
19-October-2016,84.35,84.90,83.90,84.20,84.383638988606211955,1025120,3630,86503356.00,250777,24.46,1.00,-0.15
18-October-2016,82.40,84.00,82.10,83.80,83.500217946866635995,1488895,5798,124323057.00,483930,32.50,1.90,1.40
17-October-2016,80.00,82.20,79.00,81.45,81.185163625587401041,944840,3487,76706990.00,231596,24.51,3.20,1.45
14-October-2016,79.05,81.10,79.05,80.65,80.416188671781472189,576366,2390,46349157.00,198747,34.48,2.05,1.60
13-October-2016,80.50,80.90,78.60,79.30,79.560743560856221592,1029640,3659,81918924.00,378305,36.74,2.30,-1.20
10-October-2016,81.50,81.85,80.30,80.70,80.905955703084305946,504911,2180,40850307.00,193874,38.40,1.55,-0.80
7-October-2016,81.25,81.50,80.60,81.25,81.134119651618868656,536424,2066,43522289.00,154534,28.81,0.90,0.00
6-October-2016,82.00,83.30,80.30,80.80,81.764135385717089158,1161836,3765,94996516.00,292267,25.16,3.00,-1.20
5-October-2016,81.50,82.45,81.05,81.70,81.579986024274598000,759889,2528,61991734.00,242824,31.96,1.40,0.20
5-October-2016,81.50,82.45,81.05,81.70,81.579986024274598000,759889,2528,61991734.00,242824,31.96,1.40,0.20
4-October-2016,83.20,83.30,80.70,81.35,81.600436211141169532,1175119,4024,95890223.00,338397,28.80,2.60,-1.85
3-October-2016,79.00,83.30,78.50,82.90,81.451475344015984299,1688657,6805,137543604.00,394016,23.33,4.80,3.90
30-September-2016,76.30,80.25,75.15,79.60,78.503069312562975963,1775479,9578,139380551.00,540489,30.44,5.10,3.30
